diseases,symptoms
Chronic Obstructive Pulmonary Disease (COPD),Blood in Sputum
Bronchiectasis,Blood in Sputum
Cystic Fibrosis,Frequent Infections
Chronic Obstructive Pulmonary Disease (COPD),Frequent Infections
Bronchiectasis,Frequent Infections
Allergic Rhinitis,Chronic Sore Throat
Sinusitis,Chronic Sore Throat
Asthma,Chronic Sore Throat
Allergic Rhinitis,Nasal Congestion
Sinusitis,Nasal Congestion
Asthma,Nasal Congestion
Allergic Rhinitis,Postnasal Drip
Sinusitis,Postnasal Drip
Asthma,Postnasal Drip
Chronic Obstructive Pulmonary Disease (COPD),Chronic Cough
Lung Cancer,Chronic Cough
Pulmonary Hypertension,Chronic Cough
Chronic Obstructive Pulmonary Disease (COPD),Fatigue
Lung Cancer,Fatigue
Pulmonary Hypertension,Fatigue
Chronic Obstructive Pulmonary Disease (COPD),Poor Appetite
Lung Cancer,Poor Appetite
Pulmonary Hypertension,Poor Appetite
Interstitial Lung Disease,Shortness of Breath
Pulmonary Hypertension,Shortness of Breath
Chronic Bronchitis,Shortness of Breath
Interstitial Lung Disease,Chest Tightness
Pulmonary Hypertension,Chest Tightness
Chronic Bronchitis,Chest Tightness
Interstitial Lung Disease,Dry Cough
Pulmonary Hypertension,Dry Cough
Chronic Bronchitis,Dry Cough
Asthma,Wheezing
Cystic Fibrosis,Wheezing
Bronchiolitis Obliterans,Wheezing
Asthma,Difficulty Breathing
Cystic Fibrosis,Difficulty Breathing
Bronchiolitis Obliterans,Difficulty Breathing
Asthma,Frequent Chest Infections
Cystic Fibrosis,Frequent Chest Infections
Bronchiolitis Obliterans,Frequent Chest Infections
Muscular dystrophy,Muscle weakness
Multiple sclerosis,Muscle weakness
Retinitis pigmentosa,Muscle weakness
Muscular dystrophy,Difficulty walking
Multiple sclerosis,Difficulty walking
Retinitis pigmentosa,Difficulty walking
Muscular dystrophy,Vision loss
Multiple sclerosis,Vision loss
Retinitis pigmentosa,Vision loss
Down syndrome,Intellectual disability
Epilepsy,Intellectual disability
Turner syndrome,Intellectual disability
Down syndrome,Seizures
Epilepsy,Seizures
Turner syndrome,Seizures
Down syndrome,Delayed growth
Epilepsy,Delayed growth
Turner syndrome,Delayed growth
Polycystic ovary syndrome,Infertility
Thyroid disorders,Infertility
Cushing's disease,Infertility
Polycystic ovary syndrome,Weight gain
Thyroid disorders,Weight gain
Cushing's disease,Weight gain
Polycystic ovary syndrome,Hair loss
Thyroid disorders,Hair loss
Cushing's disease,Hair loss
Lupus,Joint pain
Rheumatoid arthritis,Joint pain
Psoriasis,Joint pain
Lupus,Skin rash
Rheumatoid arthritis,Skin rash
Psoriasis,Skin rash
Lupus,Fatigue
Rheumatoid arthritis,Fatigue
Psoriasis,Fatigue
Arrhythmia,Irregular heartbeat
Coronary artery disease,Irregular heartbeat
Heart failure,Irregular heartbeat
Arrhythmia,Chest pain
Coronary artery disease,Chest pain
Heart failure,Chest pain
Arrhythmia,Shortness of breath
Coronary artery disease,Shortness of breath
Heart failure,Shortness of breath
Migraine,Headache
Vertigo,Headache
Brain Tumor,Headache
Migraine,Nausea
Vertigo,Nausea
Brain Tumor,Nausea
Migraine,Dizziness
Vertigo,Dizziness
Brain Tumor,Dizziness
Parkinson's Disease,Tremors
Multiple Sclerosis,Tremors
Stroke,Tremors
Parkinson's Disease,Muscle Weakness
Multiple Sclerosis,Muscle Weakness
Stroke,Muscle Weakness
Parkinson's Disease,Difficulty Speaking
Multiple Sclerosis,Difficulty Speaking
Stroke,Difficulty Speaking
Alzheimer's Disease,Memory Loss
Dementia,Memory Loss
Delirium,Memory Loss
Alzheimer's Disease,Confusion
Dementia,Confusion
Delirium,Confusion
Alzheimer's Disease,Difficulty Concentrating
Dementia,Difficulty Concentrating
Delirium,Difficulty Concentrating
Peripheral Neuropathy,Numbness
Spinal Cord Injury,Numbness
Cerebral Palsy,Numbness
Peripheral Neuropathy,Tingling Sensation
Spinal Cord Injury,Tingling Sensation
Cerebral Palsy,Tingling Sensation
Peripheral Neuropathy,Difficulty Walking
Spinal Cord Injury,Difficulty Walking
Cerebral Palsy,Difficulty Walking
Epilepsy,Seizures
Syncope,Seizures
Brain Aneurysm,Seizures
Epilepsy,Loss of Consciousness
Syncope,Loss of Consciousness
Brain Aneurysm,Loss of Consciousness
Epilepsy,Vision Changes
Syncope,Vision Changes
Brain Aneurysm,Vision Changes
Rheumatoid Arthritis,Joint pain
Lupus,Joint pain
Psoriasis,Joint pain
Rheumatoid Arthritis,Fatigue
Lupus,Fatigue
Psoriasis,Fatigue
Rheumatoid Arthritis,Skin rash
Lupus,Skin rash
Psoriasis,Skin rash
Hypothyroidism,Hair loss
Hashimoto's Disease,Hair loss
Graves' Disease,Hair loss
Hypothyroidism,Weight gain
Hashimoto's Disease,Weight gain
Graves' Disease,Weight gain
Hypothyroidism,Cold intolerance
Hashimoto's Disease,Cold intolerance
Graves' Disease,Cold intolerance
Crohn's Disease,Abdominal pain
Ulcerative Colitis,Abdominal pain
Celiac Disease,Abdominal pain
Crohn's Disease,Diarrhea
Ulcerative Colitis,Diarrhea
Celiac Disease,Diarrhea
Crohn's Disease,Weight loss
Ulcerative Colitis,Weight loss
Celiac Disease,Weight loss
Multiple Sclerosis,Muscle weakness
Myasthenia Gravis,Muscle weakness
Scleroderma,Muscle weakness
Multiple Sclerosis,Vision changes
Myasthenia Gravis,Vision changes
Scleroderma,Vision changes
Multiple Sclerosis,Difficulty swallowing
Myasthenia Gravis,Difficulty swallowing
Scleroderma,Difficulty swallowing
Multiple Sclerosis,Numbness/tingling
Alzheimer's Disease,Numbness/tingling
Depression,Numbness/tingling
Multiple Sclerosis,Memory loss
Alzheimer's Disease,Memory loss
Depression,Memory loss
Multiple Sclerosis,Mood changes
Alzheimer's Disease,Mood changes
Depression,Mood changes
Depression,Mood Swings
Bipolar Disorder,Mood Swings
Anorexia Nervosa,Mood Swings
Attention Deficit Hyperactivity Disorder,Mood Swings
Post-Traumatic Stress Disorder,Mood Swings
Depression,Loss of Appetite
Bipolar Disorder,Loss of Appetite
Anorexia Nervosa,Loss of Appetite
Attention Deficit Hyperactivity Disorder,Loss of Appetite
Post-Traumatic Stress Disorder,Loss of Appetite
Depression,Difficulty Concentrating
Bipolar Disorder,Difficulty Concentrating
Anorexia Nervosa,Difficulty Concentrating
Attention Deficit Hyperactivity Disorder,Difficulty Concentrating
Post-Traumatic Stress Disorder,Difficulty Concentrating
Anxiety Disorder,Insomnia
Schizophrenia,Insomnia
Obsessive Compulsive Disorder,Insomnia
Borderline Personality Disorder,Insomnia
Seasonal Affective Disorder,Insomnia
Anxiety Disorder,Irritability
Schizophrenia,Irritability
Obsessive Compulsive Disorder,Irritability
Borderline Personality Disorder,Irritability
Seasonal Affective Disorder,Irritability
Anxiety Disorder,Social Withdrawal
Schizophrenia,Social Withdrawal
Obsessive Compulsive Disorder,Social Withdrawal
Borderline Personality Disorder,Social Withdrawal
Seasonal Affective Disorder,Social Withdrawal
Alzheimer's Disease,Hallucinations
Dementia,Hallucinations
Parkinson's Disease,Hallucinations
Schizoaffective Disorder,Hallucinations
Huntington's Disease,Hallucinations
Alzheimer's Disease,Memory Loss
Dementia,Memory Loss
Parkinson's Disease,Memory Loss
Schizoaffective Disorder,Memory Loss
Huntington's Disease,Memory Loss
Alzheimer's Disease,Delusions
Dementia,Delusions
Parkinson's Disease,Delusions
Schizoaffective Disorder,Delusions
Huntington's Disease,Delusions
Antisocial Personality Disorder,Paranoia
Narcissistic Personality Disorder,Paranoia
Intermittent Explosive Disorder,Paranoia
Conduct Disorder,Paranoia
Oppositional Defiant Disorder,Paranoia
Antisocial Personality Disorder,Aggressiveness
Narcissistic Personality Disorder,Aggressiveness
Intermittent Explosive Disorder,Aggressiveness
Conduct Disorder,Aggressiveness
Oppositional Defiant Disorder,Aggressiveness
Antisocial Personality Disorder,Impulsive Behavior
Narcissistic Personality Disorder,Impulsive Behavior
Intermittent Explosive Disorder,Impulsive Behavior
Conduct Disorder,Impulsive Behavior
Oppositional Defiant Disorder,Impulsive Behavior
Postpartum Depression,Panic Attacks
Panic Disorder,Panic Attacks
Dissociative Identity Disorder,Panic Attacks
Generalized Anxiety Disorder,Panic Attacks
Major Depressive Disorder,Panic Attacks
Postpartum Depression,Flashbacks
Panic Disorder,Flashbacks
Dissociative Identity Disorder,Flashbacks
Generalized Anxiety Disorder,Flashbacks
Major Depressive Disorder,Flashbacks
Postpartum Depression,Emotional Numbness
Panic Disorder,Emotional Numbness
Dissociative Identity Disorder,Emotional Numbness
Generalized Anxiety Disorder,Emotional Numbness
Major Depressive Disorder,Emotional Numbness
Gastritis,Abdominal Pain
Gastroenteritis,Abdominal Pain
Irritable Bowel Syndrome,Abdominal Pain
Food Poisoning,Abdominal Pain
Peptic Ulcer,Abdominal Pain
Gastritis,Nausea
Gastroenteritis,Nausea
Irritable Bowel Syndrome,Nausea
Food Poisoning,Nausea
Peptic Ulcer,Nausea
Gastritis,Vomiting
Gastroenteritis,Vomiting
Irritable Bowel Syndrome,Vomiting
Food Poisoning,Vomiting
Peptic Ulcer,Vomiting
Gastritis,Bloating
Gastroenteritis,Bloating
Irritable Bowel Syndrome,Bloating
Food Poisoning,Bloating
Peptic Ulcer,Bloating
Gastritis,Diarrhea
Gastroenteritis,Diarrhea
Irritable Bowel Syndrome,Diarrhea
Food Poisoning,Diarrhea
Peptic Ulcer,Diarrhea
Colon Cancer,Constipation
Crohn's Disease,Constipation
Diverticulitis,Constipation
Ulcerative Colitis,Constipation
Pancreatic Cancer,Constipation
Colon Cancer,Abdominal Cramps
Crohn's Disease,Abdominal Cramps
Diverticulitis,Abdominal Cramps
Ulcerative Colitis,Abdominal Cramps
Pancreatic Cancer,Abdominal Cramps
Colon Cancer,Blood in Stool
Crohn's Disease,Blood in Stool
Diverticulitis,Blood in Stool
Ulcerative Colitis,Blood in Stool
Pancreatic Cancer,Blood in Stool
Colon Cancer,Weight Loss
Crohn's Disease,Weight Loss
Diverticulitis,Weight Loss
Ulcerative Colitis,Weight Loss
Pancreatic Cancer,Weight Loss
Colon Cancer,Fatigue
Crohn's Disease,Fatigue
Diverticulitis,Fatigue
Ulcerative Colitis,Fatigue
Pancreatic Cancer,Fatigue
Gastroesophageal Reflux Disease,Heartburn
Hiatal Hernia,Heartburn
Esophagitis,Heartburn
Gastroparesis,Heartburn
Peptic Ulcer,Heartburn
Gastroesophageal Reflux Disease,Difficulty Swallowing
Hiatal Hernia,Difficulty Swallowing
Esophagitis,Difficulty Swallowing
Gastroparesis,Difficulty Swallowing
Peptic Ulcer,Difficulty Swallowing
Gastroesophageal Reflux Disease,Regurgitation
Hiatal Hernia,Regurgitation
Esophagitis,Regurgitation
Gastroparesis,Regurgitation
Peptic Ulcer,Regurgitation
Gastroesophageal Reflux Disease,Nausea
Hiatal Hernia,Nausea
Esophagitis,Nausea
Gastroparesis,Nausea
Peptic Ulcer,Nausea
Gastroesophageal Reflux Disease,Vomiting
Hiatal Hernia,Vomiting
Esophagitis,Vomiting
Gastroparesis,Vomiting
Peptic Ulcer,Vomiting
Hepatitis,Jaundice
Cirrhosis,Jaundice
Gallstones,Jaundice
Pancreatitis,Jaundice
Liver Cancer,Jaundice
Hepatitis,Dark Urine
Cirrhosis,Dark Urine
Gallstones,Dark Urine
Pancreatitis,Dark Urine
Liver Cancer,Dark Urine
Hepatitis,Pale Stools
Cirrhosis,Pale Stools
Gallstones,Pale Stools
Pancreatitis,Pale Stools
Liver Cancer,Pale Stools
Hepatitis,Abdominal Pain
Cirrhosis,Abdominal Pain
Gallstones,Abdominal Pain
Pancreatitis,Abdominal Pain
Liver Cancer,Abdominal Pain
Hepatitis,Loss of Appetite
Cirrhosis,Loss of Appetite
Gallstones,Loss of Appetite
Pancreatitis,Loss of Appetite
Liver Cancer,Loss of Appetite
Colorectal Cancer,Rectal Bleeding
Inflammatory Bowel Disease,Rectal Bleeding
Hemorrhoids,Rectal Bleeding
Diverticulosis,Rectal Bleeding
Anal Fissures,Rectal Bleeding
Colorectal Cancer,Change in Bowel Habits
Inflammatory Bowel Disease,Change in Bowel Habits
Hemorrhoids,Change in Bowel Habits
Diverticulosis,Change in Bowel Habits
Anal Fissures,Change in Bowel Habits
Colorectal Cancer,Abdominal Pain
Inflammatory Bowel Disease,Abdominal Pain
Hemorrhoids,Abdominal Pain
Diverticulosis,Abdominal Pain
Anal Fissures,Abdominal Pain
Colorectal Cancer,Anemia
Inflammatory Bowel Disease,Anemia
Hemorrhoids,Anemia
Diverticulosis,Anemia
Anal Fissures,Anemia
Colorectal Cancer,Unexplained Weight Loss
Inflammatory Bowel Disease,Unexplained Weight Loss
Hemorrhoids,Unexplained Weight Loss
Diverticulosis,Unexplained Weight Loss
Anal Fissures,Unexplained Weight Loss
Hypothyroidism,Weight gain
Hashimoto's disease,Weight gain
Cushing's syndrome,Weight gain
Addison's disease,Weight gain
Hypopituitarism,Weight gain
Hypothyroidism,Hair loss
Hashimoto's disease,Hair loss
Cushing's syndrome,Hair loss
Addison's disease,Hair loss
Hypopituitarism,Hair loss
Hypothyroidism,Dry skin
Hashimoto's disease,Dry skin
Cushing's syndrome,Dry skin
Addison's disease,Dry skin
Hypopituitarism,Dry skin
Hypothyroidism,Feeling cold
Hashimoto's disease,Feeling cold
Cushing's syndrome,Feeling cold
Addison's disease,Feeling cold
Hypopituitarism,Feeling cold
Hypothyroidism,Constipation
Hashimoto's disease,Constipation
Cushing's syndrome,Constipation
Addison's disease,Constipation
Hypopituitarism,Constipation
Diabetes mellitus,Increased thirst
Diabetes insipidus,Increased thirst
Hyperparathyroidism,Increased thirst
Hyperthyroidism,Increased thirst
Acromegaly,Increased thirst
Diabetes mellitus,Frequent urination
Diabetes insipidus,Frequent urination
Hyperparathyroidism,Frequent urination
Hyperthyroidism,Frequent urination
Acromegaly,Frequent urination
Diabetes mellitus,Fatigue
Diabetes insipidus,Fatigue
Hyperparathyroidism,Fatigue
Hyperthyroidism,Fatigue
Acromegaly,Fatigue
Diabetes mellitus,Blurred vision
Diabetes insipidus,Blurred vision
Hyperparathyroidism,Blurred vision
Hyperthyroidism,Blurred vision
Acromegaly,Blurred vision
Diabetes mellitus,Nausea
Diabetes insipidus,Nausea
Hyperparathyroidism,Nausea
Hyperthyroidism,Nausea
Acromegaly,Nausea
Polycystic ovary syndrome,Muscle weakness
Cushing's syndrome,Muscle weakness
Hypothyroidism,Muscle weakness
Premenstrual syndrome,Muscle weakness
Premature ovarian failure,Muscle weakness
Polycystic ovary syndrome,Weight gain
Cushing's syndrome,Weight gain
Hypothyroidism,Weight gain
Premenstrual syndrome,Weight gain
Premature ovarian failure,Weight gain
Polycystic ovary syndrome,Mood swings
Cushing's syndrome,Mood swings
Hypothyroidism,Mood swings
Premenstrual syndrome,Mood swings
Premature ovarian failure,Mood swings
Polycystic ovary syndrome,Irregular periods
Cushing's syndrome,Irregular periods
Hypothyroidism,Irregular periods
Premenstrual syndrome,Irregular periods
Premature ovarian failure,Irregular periods
Polycystic ovary syndrome,Thinning hair
Cushing's syndrome,Thinning hair
Hypothyroidism,Thinning hair
Premenstrual syndrome,Thinning hair
Premature ovarian failure,Thinning hair
Hyperthyroidism,Excessive sweating
Pheochromocytoma,Excessive sweating
Graves' disease,Excessive sweating
Pituitary adenoma,Excessive sweating
Adrenal insufficiency,Excessive sweating
Hyperthyroidism,Rapid heart rate
Pheochromocytoma,Rapid heart rate
Graves' disease,Rapid heart rate
Pituitary adenoma,Rapid heart rate
Adrenal insufficiency,Rapid heart rate
Hyperthyroidism,Anxiety
Pheochromocytoma,Anxiety
Graves' disease,Anxiety
Pituitary adenoma,Anxiety
Adrenal insufficiency,Anxiety
Hyperthyroidism,Tremors
Pheochromocytoma,Tremors
Graves' disease,Tremors
Pituitary adenoma,Tremors
Adrenal insufficiency,Tremors
Hyperthyroidism,Weight loss
Pheochromocytoma,Weight loss
Graves' disease,Weight loss
Pituitary adenoma,Weight loss
Adrenal insufficiency,Weight loss
Addison's disease,Fatigue
Hypopituitarism,Fatigue
Adrenal insufficiency,Fatigue
Pheochromocytoma,Fatigue
Hypothyroidism,Fatigue
Addison's disease,Muscle pain
Hypopituitarism,Muscle pain
Adrenal insufficiency,Muscle pain
Pheochromocytoma,Muscle pain
Hypothyroidism,Muscle pain
Addison's disease,Low blood pressure
Hypopituitarism,Low blood pressure
Adrenal insufficiency,Low blood pressure
Pheochromocytoma,Low blood pressure
Hypothyroidism,Low blood pressure
Addison's disease,Dizziness
Hypopituitarism,Dizziness
Adrenal insufficiency,Dizziness
Pheochromocytoma,Dizziness
Hypothyroidism,Dizziness
Addison's disease,Darkening of skin
Hypopituitarism,Darkening of skin
Adrenal insufficiency,Darkening of skin
Pheochromocytoma,Darkening of skin
Hypothyroidism,Darkening of skin
Rheumatoid Arthritis,Joint pain
Osteoarthritis,Joint pain
Gout,Joint pain
Rheumatoid Arthritis,Swelling
Osteoarthritis,Swelling
Gout,Swelling
Rheumatoid Arthritis,Stiffness
Osteoarthritis,Stiffness
Gout,Stiffness
Sciatica,Back pain
Herniated Disc,Back pain
Spinal Stenosis,Back pain
Sciatica,Numbness
Herniated Disc,Numbness
Spinal Stenosis,Numbness
Sciatica,Weakness
Herniated Disc,Weakness
Spinal Stenosis,Weakness
Multiple Sclerosis,Muscle weakness
Fibromyalgia,Muscle weakness
Myasthenia Gravis,Muscle weakness
Multiple Sclerosis,Fatigue
Fibromyalgia,Fatigue
Myasthenia Gravis,Fatigue
Multiple Sclerosis,Difficulty walking
Fibromyalgia,Difficulty walking
Myasthenia Gravis,Difficulty walking
Psoriatic Arthritis,Joint redness
Ankylosing Spondylitis,Joint redness
Juvenile Idiopathic Arthritis,Joint redness
Psoriatic Arthritis,Limited range of motion
Ankylosing Spondylitis,Limited range of motion
Juvenile Idiopathic Arthritis,Limited range of motion
Psoriatic Arthritis,Joint deformity
Ankylosing Spondylitis,Joint deformity
Juvenile Idiopathic Arthritis,Joint deformity
Amyotrophic Lateral Sclerosis,Muscle spasms
Peripheral Neuropathy,Muscle spasms
Polymyositis,Muscle spasms
Amyotrophic Lateral Sclerosis,Tingling sensation
Peripheral Neuropathy,Tingling sensation
Polymyositis,Tingling sensation
Amyotrophic Lateral Sclerosis,Muscle cramps
Peripheral Neuropathy,Muscle cramps
Polymyositis,Muscle cramps
Eczema,Rash
Psoriasis,Rash
Allergic Contact Dermatitis,Rash
Eczema,Itching
Psoriasis,Itching
Allergic Contact Dermatitis,Itching
Eczema,Swelling
Psoriasis,Swelling
Allergic Contact Dermatitis,Swelling
Acne Vulgaris,Acne
Rosacea,Acne
Folliculitis,Acne
Acne Vulgaris,Blackheads
Rosacea,Blackheads
Folliculitis,Blackheads
Acne Vulgaris,Whiteheads
Rosacea,Whiteheads
Folliculitis,Whiteheads
Alopecia Areata,Hair Loss
Seborrheic Dermatitis,Hair Loss
Scalp Psoriasis,Hair Loss
Alopecia Areata,Redness
Seborrheic Dermatitis,Redness
Scalp Psoriasis,Redness
Alopecia Areata,Flaky Scalp
Seborrheic Dermatitis,Flaky Scalp
Scalp Psoriasis,Flaky Scalp
Eczema Herpeticum,Blisters
Athlete's Foot,Blisters
Hand-Foot-Mouth Disease,Blisters
Eczema Herpeticum,Cracked Skin
Athlete's Foot,Cracked Skin
Hand-Foot-Mouth Disease,Cracked Skin
Eczema Herpeticum,Dryness
Athlete's Foot,Dryness
Hand-Foot-Mouth Disease,Dryness
Lichen Planus,Skin Lesions
Vitiligo,Skin Lesions
Skin Cancer,Skin Lesions
Lichen Planus,Discoloration
Vitiligo,Discoloration
Skin Cancer,Discoloration
Lichen Planus,Ulcers
Vitiligo,Ulcers
Skin Cancer,Ulcers
Polycystic Ovary Syndrome,Irregular Menstruation
Hypothyroidism,Irregular Menstruation
Premenstrual Syndrome,Irregular Menstruation
Polycystic Ovary Syndrome,Weight Gain
Hypothyroidism,Weight Gain
Premenstrual Syndrome,Weight Gain
Polycystic Ovary Syndrome,Mood Swings
Hypothyroidism,Mood Swings
Premenstrual Syndrome,Mood Swings
Hypothyroidism,Hair Loss
Cushing's Syndrome,Hair Loss
Addison's Disease,Hair Loss
Hypothyroidism,Fatigue
Cushing's Syndrome,Fatigue
Addison's Disease,Fatigue
Hypothyroidism,Dry Skin
Cushing's Syndrome,Dry Skin
Addison's Disease,Dry Skin
Diabetes Mellitus,Increased Thirst
Diabetes Insipidus,Increased Thirst
Hyperthyroidism,Increased Thirst
Diabetes Mellitus,Frequent Urination
Diabetes Insipidus,Frequent Urination
Hyperthyroidism,Frequent Urination
Diabetes Mellitus,Blurred Vision
Diabetes Insipidus,Blurred Vision
Hyperthyroidism,Blurred Vision
Hypopituitarism,Growth Delay
Turner Syndrome,Growth Delay
Prader-Willi Syndrome,Growth Delay
Hypopituitarism,Delayed Puberty
Turner Syndrome,Delayed Puberty
Prader-Willi Syndrome,Delayed Puberty
Hypopituitarism,Excessive Hunger
Turner Syndrome,Excessive Hunger
Prader-Willi Syndrome,Excessive Hunger
Polycystic Ovary Syndrome,Excessive Facial Hair
Cushing's Syndrome,Excessive Facial Hair
Congenital Adrenal Hyperplasia,Excessive Facial Hair
Polycystic Ovary Syndrome,Acne
Cushing's Syndrome,Acne
Congenital Adrenal Hyperplasia,Acne
Polycystic Ovary Syndrome,Irregular Periods
Cushing's Syndrome,Irregular Periods
Congenital Adrenal Hyperplasia,Irregular Periods
Allergic Rhinitis,Sneezing
Hay Fever,Sneezing
Allergic Conjunctivitis,Sneezing
Allergic Rhinitis,Itchy Eyes
Hay Fever,Itchy Eyes
Allergic Conjunctivitis,Itchy Eyes
Allergic Rhinitis,Runny Nose
Hay Fever,Runny Nose
Allergic Conjunctivitis,Runny Nose
Anaphylaxis,Hives
Food Allergy,Hives
Insect Sting Allergy,Hives
Anaphylaxis,Swollen Lips
Food Allergy,Swollen Lips
Insect Sting Allergy,Swollen Lips
Anaphylaxis,Difficulty Breathing
Food Allergy,Difficulty Breathing
Insect Sting Allergy,Difficulty Breathing
Food Allergy,Skin Rash
Eczema,Skin Rash
Dermatitis,Skin Rash
Food Allergy,Stomach Pain
Eczema,Stomach Pain
Dermatitis,Stomach Pain
Food Allergy,Nausea
Eczema,Nausea
Dermatitis,Nausea
Asthma,Wheezing
Allergic Bronchitis,Wheezing
COPD,Wheezing
Asthma,Shortness of Breath
Allergic Bronchitis,Shortness of Breath
COPD,Shortness of Breath
Asthma,Chest Tightness
Allergic Bronchitis,Chest Tightness
COPD,Chest Tightness
Sinusitis,Headache
Allergic Rhinitis,Headache
Migraines,Headache
Sinusitis,Fatigue
Allergic Rhinitis,Fatigue
Migraines,Fatigue
Sinusitis,Sinus Pressure
Allergic Rhinitis,Sinus Pressure
Migraines,Sinus Pressure
Glaucoma,Blurred Vision
Cataracts,Blurred Vision
Conjunctivitis,Blurred Vision
Migraine,Blurred Vision
Uveitis,Blurred Vision
Glaucoma,Eye Pain
Cataracts,Eye Pain
Conjunctivitis,Eye Pain
Migraine,Eye Pain
Uveitis,Eye Pain
Glaucoma,Redness
Cataracts,Redness
Conjunctivitis,Redness
Migraine,Redness
Uveitis,Redness
Glaucoma,Sensitivity to Light
Cataracts,Sensitivity to Light
Conjunctivitis,Sensitivity to Light
Migraine,Sensitivity to Light
Uveitis,Sensitivity to Light
Glaucoma,Headache
Cataracts,Headache
Conjunctivitis,Headache
Migraine,Headache
Uveitis,Headache
Astigmatism,Double Vision
Presbyopia,Double Vision
Macular Degeneration,Double Vision
Diabetic Retinopathy,Double Vision
Refractive Error,Double Vision
Astigmatism,Difficulty Seeing at Night
Presbyopia,Difficulty Seeing at Night
Macular Degeneration,Difficulty Seeing at Night
Diabetic Retinopathy,Difficulty Seeing at Night
Refractive Error,Difficulty Seeing at Night
Astigmatism,Halos Around Lights
Presbyopia,Halos Around Lights
Macular Degeneration,Halos Around Lights
Diabetic Retinopathy,Halos Around Lights
Refractive Error,Halos Around Lights
Astigmatism,Floaters
Presbyopia,Floaters
Macular Degeneration,Floaters
Diabetic Retinopathy,Floaters
Refractive Error,Floaters
Astigmatism,Eye Strain
Presbyopia,Eye Strain
Macular Degeneration,Eye Strain
Diabetic Retinopathy,Eye Strain
Refractive Error,Eye Strain
Blepharitis,Dry Eyes
Allergic Conjunctivitis,Dry Eyes
